post_id,comments,likes,date,message,shares
104958196201736_1923791020985102,4.0,11.0,20210126,"What is ordinarily a quiet, Provençal setting is transformed into a hotbed of activity",1
104958196201736_1923786534318884,13.0,1206.0,20210126,"Antonia Fraser, a 15-year-old schoolgirl in 1947, remembers the euphoria of the future queen’s Austerity Wedding.",2
104958196201736_1923679554329582,53.0,3453.0,20210126,"Is the dramatic spike in resale sites due to an increased interest in mindful shopping, or are consumers just hungry for discounted designer products? http://vogue.uk/zk9sCg",28
104958196201736_1923630641001140,7.0,124054.0,20210126,Digital detoxes: do they really work? vogue.uk/ZqJFeG,3
104958196201736_1923874287643442,1.0,2.0,20210125,Which will you choose for scene-stealing moments this spring?,1
104958196201736_1923899940974210,100.0,12000.0,20210125,"From Beyoncé's ""naked dress'"" to Rihanna's ""omelette"" cape, these Met Gala moments are unforgettable",10
104958196201736_1923784607652410,4.0,3.0,20210125,Achieve the perfect spring clean with the best new cleansers on the beauty block: vogue.uk/IKZKw1,5
104958196201736_1923821067648764,11.0,,20210124,This is where London's creative set will descend this summer,11
104958196201736_1923932760970928,8.0,200.0,20210124,In a few weeks Wardour News will sadly close its doors for good.,8
104958196201736_1923785630985641,,4.0,20210124,"The play to see, the book to read and the West End hideout to discover",0
104958196201736_1923875540976650,3.0,2.0,20210124,IKEA to unveil Off-White c/o Virgil Abloh collab via live broadcast tonight: http://vogue.uk/VwxWIy,2
